개방자치단체코드,관리번호,시도명,시군구명,관리구역명,관리구역대상지역명,배출장소유형,배출장소,생활쓰레기배출방법,음식물쓰레기배출방법,재활용품배출방법,일시적다량폐기물배출방법,일시적다량폐기물배출장소,생활쓰레기배출요일,음식물쓰레기배출요일,재활용품배출요일,생활쓰레기배출시작시각,생활쓰레기배출종료시각,음식물쓰레기배출시작시각,음식물쓰레기배출종료시각,재활용품배출시작시각,재활용품배출종료시각,일시적다량폐기물배출시작시각,일시적다량폐기물배출종료시각,미수거일,관리부서명,관리부서전화번호,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
5020000,202450200000400003,경상북도,포항시,포항시북구,포항시북구전역,문전수거,집앞(공동배출장소),문전배출(공동배출장소),문전(공동배출장소),문전(공동배출장소),해당 읍면동 신고후 자가운반,자가운반 후 매립장반입,일+월+수+목,월+수+금,화+금,20:00,06:00,20:00,06:00,20:00,06:00,09:00,16:00,일요일,자원순환과,054-270-3154,2024-02-27,I,2026-01-07 17:52:05,2024-02-27 17:40:17
5020000,202450200000400004,경상북도,포항시,포항시남구,포항시남구전역,문전수거,집앞(공동배출장소),문전배출(공동배출장소),문전(공동배출장소),문전(공동배출장소),해당 읍면동 신고후 자가운반,자가운반 후 매립장반입,일+월+수+목,일+화+목,화+금,20:00,06:00,20:00,06:00,20:00,06:00,09:00,16:00,일요일,자원순환과,054-270-3154,2024-02-27,I,2026-01-07 17:52:05,2024-02-27 17:40:17
